No.,Time,Source,Destination,Protocol,Length,Win
406,17.424484,10.0.0.2,10.0.0.1,TCP,66,170496
407,17.429069,10.0.0.2,10.0.0.1,TCP,66,170496
408,17.486982,10.0.0.1,10.0.0.2,TCP,1514,29696
409,17.511218,10.0.0.1,10.0.0.2,TCP,2962,29696
410,17.565185,10.0.0.2,10.0.0.1,TCP,78,170496
411,17.627417,10.0.0.1,10.0.0.2,TCP,1514,29696
412,17.637507,10.0.0.2,10.0.0.1,TCP,78,170496
413,17.662792,10.0.0.2,10.0.0.1,TCP,78,170496
414,17.725089,10.0.0.1,10.0.0.2,TCP,1514,29696
415,17.777773,10.0.0.2,10.0.0.1,TCP,78,170496
416,17.840056,10.0.0.1,10.0.0.2,TCP,1514,29696
417,17.876443,10.0.0.2,10.0.0.1,TCP,78,170496
418,17.938738,10.0.0.1,10.0.0.2,TCP,1514,29696
419,17.951652,10.0.0.1,10.0.0.2,TCP,1514,29696
420,17.990483,10.0.0.2,10.0.0.1,TCP,78,170496
421,18.052702,10.0.0.1,10.0.0.2,TCP,1514,29696
422,18.089994,10.0.0.2,10.0.0.1,TCP,66,170496
423,18.103015,10.0.0.2,10.0.0.1,TCP,66,170496
424,18.152258,10.0.0.1,10.0.0.2,TCP,1514,29696
425,18.177404,10.0.0.1,10.0.0.2,TCP,2962,29696
426,18.203302,10.0.0.2,10.0.0.1,TCP,66,170496
427,18.265574,10.0.0.1,10.0.0.2,TCP,1514,29696
